       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       368        1.1580        1.5474       30.00             37.39      41.5         3.06727         0.002035
       369        1.1618        1.5524       30.00             37.39      41.5         3.06104         0.002031
       370        1.1655        1.5574       30.00             37.39      41.5         3.05481         0.002027
       371        1.1692        1.5624       30.00             37.39      41.5         3.04858         0.002023
       372        1.1730        1.5673       30.00             37.39      41.5         3.04235         0.002019
       373        1.1767        1.5723       30.00             37.39      41.5         3.03612         0.002015
       374        1.1805        1.5773       30.00             37.39      41.5         3.02988         0.002010
       375        1.1842        1.5823       30.00             37.39      41.5         3.02365         0.002006
       376        1.1879        1.5873       30.00             37.39      41.5         3.01742         0.002002
       377        1.1917        1.5922       30.00             37.39      41.5         3.01119         0.001998
       378        1.1954        1.5972       30.00             37.39      41.5         3.00496         0.001994
